src,dst,relationship
8683,24267,1000009
8683,31234,1000009
24267,8683,1000009
24267,31234,1000009
31234,8683,1000009
31234,24267,1000009
230,9621,1000199
9621,230,1000199
2295,16112,1000214
2295,19834,1000214
2295,25914,1000214
2295,28529,1000214
16112,2295,1000214
16112,19834,1000214
16112,25914,1000214
16112,28529,1000214
19834,2295,1000214
19834,16112,1000214
19834,25914,1000214
19834,28529,1000214
25914,2295,1000214
25914,16112,1000214
25914,19834,1000214
25914,28529,1000214
28529,2295,1000214
28529,16112,1000214
28529,19834,1000214
28529,25914,1000214
7544,16567,1001233
16567,7544,1001233
12839,13028,1001679
13028,12839,1001679
1345,17773,1002011
1345,22692,1002011
1345,31228,1002011
1345,32100,1002011
1345,32271,1002011
17773,1345,1002011
17773,22692,1002011
17773,31228,1002011
17773,32100,1002011
17773,32271,1002011
22692,1345,1002011
22692,17773,1002011
22692,31228,1002011
22692,32100,1002011
22692,32271,1002011
31228,1345,1002011
31228,17773,1002011
31228,22692,1002011
31228,32100,1002011
31228,32271,1002011
32100,1345,1002011
32100,17773,1002011
32100,22692,1002011
32100,31228,1002011
32100,32271,1002011
32271,1345,1002011
32271,17773,1002011
32271,22692,1002011
32271,31228,1002011
32271,32100,1002011
17217,27962,1002203
17217,29347,1002203
17217,29586,1002203
27962,17217,1002203
27962,29347,1002203
27962,29586,1002203
29347,17217,1002203
29347,27962,1002203
29347,29586,1002203
29586,17217,1002203
29586,27962,1002203
29586,29347,1002203
25169,30805,1002297
30805,25169,1002297
28247,30833,1002752
30833,28247,1002752
23744,24596,1002797
24596,23744,1002797
5912,29152,1003051
29152,5912,1003051
10038,22068,1003601
22068,10038,1003601
14059,15115,1004092
15115,14059,1004092
4168,24411,1004335
4168,25195,1004335
24411,4168,1004335
24411,25195,1004335
25195,4168,1004335
25195,24411,1004335
25459,25998,1004444
25998,25459,1004444
23419,30432,1005000
30432,23419,1005000
2287,27860,1005314
27860,2287,1005314
12418,15514,1005774
15514,12418,1005774
16396,17372,1005893
17372,16396,1005893
9056,22063,1005910
22063,9056,1005910
10414,17322,1005924
17322,10414,1005924
9027,16441,1006073
9027,23798,1006073
9027,30407,1006073
16441,9027,1006073
16441,23798,1006073
16441,30407,1006073
23798,9027,1006073
23798,16441,1006073
23798,30407,1006073
30407,9027,1006073
30407,16441,1006073
30407,23798,1006073
21854,28220,1006305
28220,21854,1006305
3764,9699,1008096
9699,3764,1008096
971,13606,1008389
971,29122,1008389
971,29230,1008389
13606,971,1008389
13606,29122,1008389
13606,29230,1008389
29122,971,1008389
29122,13606,1008389
29122,29230,1008389
29230,971,1008389
29230,13606,1008389
29230,29122,1008389
11266,16337,1009111
16337,11266,1009111
8438,28529,1009147
28529,8438,1009147
10515,10849,1009312
10515,16861,1009312
10849,10515,1009312
10849,16861,1009312
16861,10515,1009312
16861,10849,1009312
3605,21102,1009860
21102,3605,1009860
22804,27860,1010652
27860,22804,1010652
11222,29286,1012986
29286,11222,1012986
650,20149,1013109
20149,650,1013109
8023,21351,1013160
8023,31735,1013160
8023,32121,1013160
21351,8023,1013160
21351,31735,1013160
21351,32121,1013160
31735,8023,1013160
31735,21351,1013160
31735,32121,1013160
32121,8023,1013160
32121,21351,1013160
32121,31735,1013160
3028,30112,1013171
30112,3028,1013171
7603,27853,1013283
27853,7603,1013283
1257,17613,1013335
17613,1257,1013335
1462,3618,1014082
3618,1462,1014082
127,14882,1014101
127,30807,1014101
14882,127,1014101
14882,30807,1014101
30807,127,1014101
30807,14882,1014101
13399,29565,1014486
29565,13399,1014486
11189,15182,1015079
15182,11189,1015079
2255,7216,1016176
2255,14307,1016176
2255,21400,1016176
7216,2255,1016176
7216,14307,1016176
7216,21400,1016176
14307,2255,1016176
14307,7216,1016176
14307,21400,1016176
21400,2255,1016176
21400,7216,1016176
21400,14307,1016176
628,9557,1021242
9557,628,1021242
9725,30119,1021457
30119,9725,1021457
4294,31411,1022600
4294,32202,1022600
31411,4294,1022600
31411,32202,1022600
32202,4294,1022600
32202,31411,1022600
17640,30689,1022732
30689,17640,1022732
13631,14767,1023357
13631,20661,1023357
13631,21876,1023357
13631,22211,1023357
13631,22553,1023357
13631,26307,1023357
14767,13631,1023357
14767,20661,1023357
14767,21876,1023357
14767,22211,1023357
14767,22553,1023357
14767,26307,1023357
20661,13631,1023357
20661,14767,1023357
20661,21876,1023357
20661,22211,1023357
20661,22553,1023357
20661,26307,1023357
21876,13631,1023357
21876,14767,1023357
21876,20661,1023357
21876,22211,1023357
21876,22553,1023357
21876,26307,1023357
22211,13631,1023357
22211,14767,1023357
22211,20661,1023357
22211,21876,1023357
22211,22553,1023357
22211,26307,1023357
22553,13631,1023357
22553,14767,1023357
22553,20661,1023357
22553,21876,1023357
22553,22211,1023357
22553,26307,1023357
26307,13631,1023357
26307,14767,1023357
26307,20661,1023357
26307,21876,1023357
26307,22211,1023357
26307,22553,1023357
2352,6620,1023617
2352,8040,1023617
2352,10259,1023617
2352,19502,1023617
6620,2352,1023617
6620,8040,1023617
6620,10259,1023617
