src,dst,relationship
11090,17197,1000004
17197,11090,1000004
8089,9761,1000183
8089,18206,1000183
9761,8089,1000183
9761,18206,1000183
18206,8089,1000183
18206,9761,1000183
13256,15234,1000441
15234,13256,1000441
15126,28011,1000442
28011,15126,1000442
20769,20794,1000579
20794,20769,1000579
3214,12081,1000656
12081,3214,1000656
23334,28247,1000776
28247,23334,1000776
1049,22266,1000936
22266,1049,1000936
3208,4788,1001003
4788,3208,1001003
25191,32259,1001617
32259,25191,1001617
11971,29197,1001738
29197,11971,1001738
7853,16043,1001992
16043,7853,1001992
15228,16532,1002102
16532,15228,1002102
12074,12524,1002256
12074,24676,1002256
12524,12074,1002256
12524,24676,1002256
24676,12074,1002256
24676,12524,1002256
5763,11556,1002309
5763,27237,1002309
11556,5763,1002309
11556,27237,1002309
27237,5763,1002309
27237,11556,1002309
21121,31492,1002356
31492,21121,1002356
19402,19552,1002494
19552,19402,1002494
2093,12856,1002496
12856,2093,1002496
15585,24191,1002643
15585,25732,1002643
24191,15585,1002643
24191,25732,1002643
25732,15585,1002643
25732,24191,1002643
1696,3105,1002658
1696,4425,1002658
3105,1696,1002658
3105,4425,1002658
4425,1696,1002658
4425,3105,1002658
3940,5052,1002796
3940,7972,1002796
3940,12645,1002796
3940,14684,1002796
3940,16762,1002796
3940,17843,1002796
3940,19530,1002796
3940,22619,1002796
5052,3940,1002796
5052,7972,1002796
5052,12645,1002796
5052,14684,1002796
5052,16762,1002796
5052,17843,1002796
5052,19530,1002796
5052,22619,1002796
7972,3940,1002796
7972,5052,1002796
7972,12645,1002796
7972,14684,1002796
7972,16762,1002796
7972,17843,1002796
7972,19530,1002796
7972,22619,1002796
12645,3940,1002796
12645,5052,1002796
12645,7972,1002796
12645,14684,1002796
12645,16762,1002796
12645,17843,1002796
12645,19530,1002796
12645,22619,1002796
14684,3940,1002796
14684,5052,1002796
14684,7972,1002796
14684,12645,1002796
14684,16762,1002796
14684,17843,1002796
14684,19530,1002796
14684,22619,1002796
16762,3940,1002796
16762,5052,1002796
16762,7972,1002796
16762,12645,1002796
16762,14684,1002796
16762,17843,1002796
16762,19530,1002796
16762,22619,1002796
17843,3940,1002796
17843,5052,1002796
17843,7972,1002796
17843,12645,1002796
17843,14684,1002796
17843,16762,1002796
17843,19530,1002796
17843,22619,1002796
19530,3940,1002796
19530,5052,1002796
19530,7972,1002796
19530,12645,1002796
19530,14684,1002796
19530,16762,1002796
19530,17843,1002796
19530,22619,1002796
22619,3940,1002796
22619,5052,1002796
22619,7972,1002796
22619,12645,1002796
22619,14684,1002796
22619,16762,1002796
22619,17843,1002796
22619,19530,1002796
1260,22789,1002968
22789,1260,1002968
12475,27893,1003246
27893,12475,1003246
9906,16511,1003269
16511,9906,1003269
1056,13209,1003309
13209,1056,1003309
871,11234,1003563
11234,871,1003563
16941,19845,1003707
19845,16941,1003707
23936,26502,1003872
26502,23936,1003872
14851,17657,1004248
17657,14851,1004248
4062,9997,1004413
9997,4062,1004413
13905,19073,1004420
19073,13905,1004420
12123,20076,1004567
20076,12123,1004567
12524,31718,1004627
31718,12524,1004627
3956,16881,1004797
16881,3956,1004797
19108,22172,1004918
22172,19108,1004918
10275,28523,1005037
28523,10275,1005037
18138,24116,1005215
24116,18138,1005215
13151,14418,1005368
14418,13151,1005368
4724,20230,1005552
20230,4724,1005552
32030,32197,1005697
32197,32030,1005697
21286,25442,1005749
21286,31307,1005749
25442,21286,1005749
25442,31307,1005749
31307,21286,1005749
31307,25442,1005749
10414,17322,1005876
10414,30386,1005876
17322,10414,1005876
17322,30386,1005876
30386,10414,1005876
30386,17322,1005876
642,18591,1006037
18591,642,1006037
9482,30805,1006490
30805,9482,1006490
4785,26767,1006898
26767,4785,1006898
3027,5239,1006950
5239,3027,1006950
9594,22834,1007365
22834,9594,1007365
7733,16396,1007683
16396,7733,1007683
9350,30525,1007731
30525,9350,1007731
1753,14603,1007839
14603,1753,1007839
21263,26814,1008353
26814,21263,1008353
6455,27385,1008371
27385,6455,1008371
5511,25342,1008566
25342,5511,1008566
9056,22063,1008641
22063,9056,1008641
15913,32130,1009476
15913,32345,1009476
32130,15913,1009476
32130,32345,1009476
32345,15913,1009476
32345,32130,1009476
4255,25163,1009540
25163,4255,1009540
2456,14962,1011420
2456,23156,1011420
14962,2456,1011420
14962,23156,1011420
23156,2456,1011420
23156,14962,1011420
9482,23351,1012541
23351,9482,1012541
10951,17539,1012699
17539,10951,1012699
7110,24525,1012748
24525,7110,1012748
27448,28274,1012960
28274,27448,1012960
22296,23705,1012975
23705,22296,1012975
2147,12501,1012987
12501,2147,1012987
16978,23416,1013273
23416,16978,1013273
32208,32231,1014062
32231,32208,1014062
22140,25818,1014083
25818,22140,1014083
9866,28653,1014274
28653,9866,1014274
16863,31356,1014342
31356,16863,1014342
9719,12480,1014365
12480,9719,1014365
2087,23447,1014936
23447,2087,1014936
6548,22952,1015220
6548,26465,1015220
6548,27710,1015220
22952,6548,1015220
22952,26465,1015220
22952,27710,1015220
26465,6548,1015220
26465,22952,1015220
26465,27710,1015220
27710,6548,1015220
27710,22952,1015220
27710,26465,1015220
8877,8878,1015266
8878,8877,1015266
24601,25163,1015326
25163,24601,1015326
16781,29421,1015703
29421,16781,1015703
10632,28828,1015843
28828,10632,1015843
23008,26882,1015988
26882,23008,1015988
2114,32081,1016296
32081,2114,1016296
1971,6225,1017042
6225,1971,1017042
14455,19985,1017305
19985,14455,1017305
16305,27101,1017737
27101,16305,1017737
6850,31860,1017909
31860,6850,1017909
8344,12375,1018912
12375,8344,1018912
11336,29574,1019090
29574,11336,1019090
29882,32366,1019384
32366,29882,1019384
7824,14186,1019679
14186,7824,1019679
6451,14991,1020292
6451,20798,1020292
6451,25999,1020292
14991,6451,1020292
14991,20798,1020292
14991,25999,1020292
20798,6451,1020292
20798,14991,1020292
20798,25999,1020292
25999,6451,1020292
25999,14991,1020292
25999,20798,1020292
12987,17132,1020456
17132,12987,1020456
3729,4985,1021122
3729,22952,1021122
4985,3729,1021122
4985,22952,1021122
22952,3729,1021122
22952,4985,1021122
13768,29887,1021133
29887,13768,1021133
13518,31793,1021553
31793,13518,1021553
29207,31631,1021573
31631,29207,1021573
332,21526,1021618
21526,332,1021618
31191,32096,1021982
32096,31191,1021982
23937,28537,1022111
28537,23937,1022111
984,9512,1022801
9512,984,1022801
31687,32360,1023236
32360,31687,1023236
4382,11538,1023369
4382,12520,1023369
4382,19292,1023369
4382,19751,1023369
4382,23631,1023369
4382,29841,1023369
4382,29982,1023369
11538,4382,1023369
11538,12520,1023369
11538,19292,1023369
11538,19751,1023369
11538,23631,1023369
11538,29841,1023369
11538,29982,1023369
12520,4382,1023369
12520,11538,1023369
12520,19292,1023369
12520,19751,1023369
12520,23631,1023369
12520,29841,1023369
12520,29982,1023369
19292,4382,1023369
19292,11538,1023369
19292,12520,1023369
19292,19751,1023369
19292,23631,1023369
19292,29841,1023369
19292,29982,1023369
19751,4382,1023369
19751,11538,1023369
19751,12520,1023369
19751,19292,1023369
19751,23631,1023369
19751,29841,1023369
19751,29982,1023369
23631,4382,1023369
23631,11538,1023369
23631,12520,1023369
23631,19292,1023369
23631,19751,1023369
23631,29841,1023369
23631,29982,1023369
29841,4382,1023369
29841,11538,1023369
29841,12520,1023369
29841,19292,1023369
29841,19751,1023369
29841,23631,1023369
29841,29982,1023369
29982,4382,1023369
29982,11538,1023369
29982,12520,1023369
29982,19292,1023369
29982,19751,1023369
29982,23631,1023369
29982,29841,1023369
18554,28687,1024455
28687,18554,1024455
26983,28137,1024904
28137,26983,1024904
16187,17103,1025153
17103,16187,1025153
12081,27071,1025191
27071,12081,1025191
474,29379,1025455
29379,474,1025455
2649,10717,1025475
10717,2649,1025475
5543,15228,1026051
15228,5543,1026051
16810,22731,1026400
22731,16810,1026400
291,32023,1026544
32023,291,1026544
1869,7260,1027696
7260,1869,1027696
628,22830,1027827
22830,628,1027827
650,16183,1028126
16183,650,1028126
16574,21942,1028152
21942,16574,1028152
560,1739,1028193
560,2201,1028193
560,2356,1028193
560,2375,1028193
560,3526,1028193
560,4226,1028193
560,4254,1028193
560,4565,1028193
560,6131,1028193
560,6704,1028193
560,6852,1028193
560,7032,1028193
560,8220,1028193
560,9648,1028193
560,10905,1028193
560,12947,1028193
560,13093,1028193
560,13272,1028193
560,14007,1028193
560,15836,1028193
560,18998,1028193
560,19798,1028193
560,20616,1028193
560,21364,1028193
560,22258,1028193
560,22554,1028193
560,22648,1028193
560,24039,1028193
560,24063,1028193
560,25230,1028193
560,27668,1028193
560,28178,1028193
560,28384,1028193
560,29252,1028193
560,31536,1028193
560,32014,1028193
560,32042,1028193
560,32072,1028193
560,32111,1028193
560,32356,1028193
560,32390,1028193
1739,560,1028193
1739,2201,1028193
1739,2356,1028193
1739,2375,1028193
1739,3526,1028193
1739,4226,1028193
1739,4254,1028193
1739,4565,1028193
1739,6131,1028193
1739,6704,1028193
1739,6852,1028193
1739,7032,1028193
1739,8220,1028193
1739,9648,1028193
1739,10905,1028193
1739,12947,1028193
1739,13093,1028193
1739,13272,1028193
1739,14007,1028193
1739,15836,1028193
1739,18998,1028193
1739,19798,1028193
1739,20616,1028193
1739,21364,1028193
1739,22258,1028193
1739,22554,1028193
1739,22648,1028193
1739,24039,1028193
1739,24063,1028193
1739,25230,1028193
1739,27668,1028193
1739,28178,1028193
1739,28384,1028193
1739,29252,1028193
1739,31536,1028193
1739,32014,1028193
1739,32042,1028193
1739,32072,1028193
1739,32111,1028193
1739,32356,1028193
1739,32390,1028193
2201,560,1028193
2201,1739,1028193
2201,2356,1028193
2201,2375,1028193
2201,3526,1028193
2201,4226,1028193
2201,4254,1028193
2201,4565,1028193
2201,6131,1028193
2201,6704,1028193
2201,6852,1028193
2201,7032,1028193
2201,8220,1028193
2201,9648,1028193
2201,10905,1028193
2201,12947,1028193
2201,13093,1028193
2201,13272,1028193
2201,14007,1028193
2201,15836,1028193
2201,18998,1028193
2201,19798,1028193
2201,20616,1028193
2201,21364,1028193
2201,22258,1028193
2201,22554,1028193
2201,22648,1028193
2201,24039,1028193
2201,24063,1028193
2201,25230,1028193
2201,27668,1028193
2201,28178,1028193
2201,28384,1028193
2201,29252,1028193
2201,31536,1028193
2201,32014,1028193
2201,32042,1028193
2201,32072,1028193
2201,32111,1028193
2201,32356,1028193
2201,32390,1028193
2356,560,1028193
2356,1739,1028193
2356,2201,1028193
2356,2375,1028193
2356,3526,1028193
2356,4226,1028193
2356,4254,1028193
2356,4565,1028193
2356,6131,1028193
2356,6704,1028193
2356,6852,1028193
2356,7032,1028193
2356,8220,1028193
2356,9648,1028193
2356,10905,1028193
2356,12947,1028193
2356,13093,1028193
2356,13272,1028193
2356,14007,1028193
2356,15836,1028193
2356,18998,1028193
2356,19798,1028193
2356,20616,1028193
2356,21364,1028193
2356,22258,1028193
2356,22554,1028193
