id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
5,C185794,false,true,M,White,Sergeant of Police,,4,1,2,0,2
9,C174984,false,true,M,Black,Police Officer,,3,1,0,0,0
11,C194944,false,true,F,White,Police Officer as Detective,73476,7,1,0,0,0
12,C210132,false,true,M,White,Police Officer as Detective,,7,1,0,0,0
13,C204385,false,true,M,White,Police Officer,85278,10,1,3,0,2
21,C197405,false,true,F,White,Police Officer,,16,7,0,0,0
29,C244836,false,true,M,Black,Police Officer,93240,6,3,5,0,7
33,C194920,false,true,M,Hispanic,Police Officer as Detective,74946,15,1,0,0,0
43,C201490,false,true,M,White,Police Officer,,1,1,0,0,0
45,C229071,false,true,M,Hispanic,Police Officer,,2,1,2,0,0
48,C241037,false,true,F,Hispanic,Police Officer,93240,9,1,9,0,9
54,C245718,false,true,M,Hispanic,Police Officer,92430,13,2,7,0,1
56,1054598,false,true,M,Hispanic,Police Officer as Detective,84054,10,1,42,0,2
58,259677,false,true,M,Hispanic,Police Officer,64926,36,9,12,1,0
70,C194839,false,true,M,Hispanic,Commander,121728,8,1,0,0,0
71,C203832,false,true,F,White,Police Officer (Per Arbitration Award),79632,1,1,1,0,0
78,C249606,false,true,M,Hispanic,Sergeant of Police,,8,1,9,1,3
79,C182480,false,true,M,Black,Police Officer,,4,2,1,0,0
80,1048041,false,true,M,Hispanic,Police Officer,84054,9,3,10,0,4
90,293504,false,true,M,Black,Police Officer,76476,25,3,0,1,0
91,C181393,false,true,M,White,Police Officer as Detective,84402,17,1,1,2,2
92,C245993,false,true,M,White,Police Officer as Detective,100980,27,1,9,1,5
96,C219960,false,true,F,Black,Police Officer (Per Arbitration Award),87888,11,4,0,0,1
97,C206724,false,true,M,Black,Police Officer,,2,1,0,0,0
100,C200239,false,true,M,Black,Police Officer,,6,4,0,0,0
105,C195749,false,true,M,Black,Police Officer,83604,15,2,2,0,2
110,C216030,false,true,M,Black,Police Officer,,8,4,0,0,0
111,C187527,false,true,F,Black,Police Officer,60600,17,2,0,0,0
114,C202773,false,true,F,Black,Police Officer,89718,22,3,5,0,2
116,1049995,false,true,M,Black,Police Officer,84054,4,1,25,1,3
117,C216981,false,true,M,Black,Police Officer,71682,18,5,3,0,0
