id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
16,1057173,true,true,M,Asian/Pacific,Sergeant of Police,84054,19,1,29,0,5
17,1030834,true,true,M,Black,Police Officer,83706,25,1,2,0,1
18,281761,true,true,M,Asian/Pacific,Police Officer,90024,5,1,34,0,3
29,1063487,true,true,M,Black,Police Officer,93240,6,3,5,0,7
34,285783,true,true,M,Black,Police Officer,90024,15,1,10,0,1
38,287075,true,true,M,Asian/Pacific,Police Officer as Detective,97440,13,1,34,0,1
47,277024,true,true,M,Hispanic,Police Officer,90024,7,1,16,0,2
50,315571,true,true,F,Hispanic,Police Officer,90024,2,2,5,0,4
59,1001321,true,true,M,Hispanic,Police Officer,70656,14,3,0,0,0
75,300320,true,true,M,Native American/Alaskan Native,Police Officer,78012,27,1,27,0,3
80,1086280,true,true,M,Hispanic,Police Officer,84054,9,3,10,0,4
89,303624,true,true,M,White,Police Officer,65592,7,2,3,0,0
90,260708,true,true,M,Black,Police Officer,76476,25,3,0,1,0
95,303417,true,true,M,White,Sergeant of Police,,12,1,0,0,1
108,302106,true,true,F,Black,Police Officer,90024,6,2,5,0,4
114,1028521,true,true,F,Black,Police Officer,89718,22,3,5,0,2
117,282909,true,true,M,Black,Police Officer,71682,18,5,3,0,0
128,285422,true,true,M,White,Police Officer,93354,32,1,34,1,5
135,1068999,true,true,M,White,Sergeant of Police,91338,11,1,76,1,2
144,1003329,true,true,F,Hispanic,Police Officer,87006,3,1,7,0,2
149,1039662,true,true,F,Black,Sergeant of Police,88296,7,2,11,1,2
152,1024254,true,true,M,White,Police Officer,93354,31,3,14,0,2
156,1034248,true,true,M,White,Police Officer,89718,32,3,27,0,7
160,1031393,true,true,M,White,Police Officer,93354,12,3,3,0,2
169,1058148,true,true,M,Hispanic,Police Officer / Explosives Detective Canine Handler,91338,5,1,31,0,1
178,305419,true,true,M,Hispanic,Police Officer / Field Training Officer,90540,38,4,2,0,0
183,1009764,true,true,F,Hispanic,Sergeant of Police,104628,19,1,22,1,8
185,1027628,true,true,M,White,Police Officer,43104,1,1,2,0,2
190,287820,true,true,M,Hispanic,Police Officer,88830,20,2,26,0,7
191,309480,true,true,M,Hispanic,Police Officer,92316,42,5,11,1,6
192,304018,true,true,F,Hispanic,Police Officer,68262,17,2,34,0,1
200,259216,true,true,M,Hispanic,Captain of Police,,16,3,11,1,1
218,1040012,true,true,M,White,Police Officer,85278,13,4,0,0,1
241,267326,true,true,M,Black,Police Officer,93354,29,6,21,0,1
242,1066696,true,true,M,Black,Police Officer as Detective,94122,15,1,39,0,5
245,287440,true,true,M,Black,Police Officer,68262,27,4,2,0,0
249,312687,true,true,M,Black,Police Officer,70656,12,4,1,0,1
250,1040898,true,true,M,Black,Police Officer,93354,11,2,6,0,4
252,305321,true,true,M,White,Police Officer,93354,18,2,32,0,5
262,1041994,true,true,M,Hispanic,Police Officer,87006,23,1,87,3,4
263,273239,true,true,F,Hispanic,Police Officer,90024,22,4,43,0,2
287,1044036,true,true,M,Hispanic,Police Officer,90024,17,1,86,0,8
288,1074508,true,true,M,Hispanic,Police Officer,87006,10,1,40,0,2
291,1026544,true,true,M,Hispanic,Police Officer,87006,9,2,88,0,4
309,1059789,true,true,M,White,Police Officer,78012,10,3,34,4,4
327,1082951,true,true,M,Asian/Pacific,Police Officer,87006,5,1,27,0,1
331,264200,true,true,F,Black,Police Officer,,4,2,1,0,0
332,311736,true,true,M,Black,Police Officer,80724,12,4,5,0,1
344,1061389,true,true,M,Hispanic,Police Officer,86142,3,1,5,0,3
346,1009365,true,true,M,Black,Police Officer,75816,17,9,0,0,0
351,271149,true,true,M,Asian/Pacific,Police Officer,87384,18,3,8,0,4
354,277871,true,true,M,Black,Police Officer,93354,6,1,2,0,1
376,276389,true,true,F,Black,Police Officer,96060,27,8,0,0,1
385,1044266,true,true,M,Black,Police Officer,96060,38,4,6,0,2
392,267374,true,true,F,Black,Police Officer,90618,7,3,2,0,1
398,1057182,true,true,M,Black,Police Officer / Field Training Officer,94524,5,1,7,0,2
406,303425,true,true,F,Black,Police Officer,90024,12,4,17,0,2
422,269326,true,true,M,Hispanic,Police Officer,66924,39,3,4,0,0
464,1057080,true,true,M,White,Police Officer,87006,7,1,79,0,1
474,1025455,true,true,M,Hispanic,Police Officer as Detective,87006,7,1,59,0,4
478,273011,true,true,M,Hispanic,Sergeant of Police,111474,48,2,79,0,4
487,1055267,true,true,M,Hispanic,Police Officer,80778,15,1,16,0,1
489,261223,true,true,M,Hispanic,Lieutenant of Police,104628,15,2,43,1,4
531,315616,true,true,M,White,Police Officer,90024,8,1,10,0,6
533,1038881,true,true,M,White,Sergeant of Police,101442,18,1,146,1,2
560,1028193,true,true,M,White,Police Officer,87006,11,1,100,0,2
579,1064344,true,true,M,Black,Police Officer,96060,63,7,39,0,1
580,289929,true,true,F,White,Police Officer Assigned Evidence Technician,72810,2,1,1,0,0
